Município,Ano de Referência,Coletado,Recicláveis,Papel e Papelão,Plástico,Metais,Vidros,Outros
Campos do Jordão,2022,21243.00,2480.00,500.00,150.00,650.00,800.00,380.00
Campos Novos Paulista,2022,1056.00,,,,,,
Cananéia,2022,11866.90,28.90,5.20,1.90,4.20,17.60,0.00
Canas,2022,830.70,,,,,,
Cândido Mota,2022,7500.00,1200.00,200.00,280.00,160.00,400.00,160.00
Cândido Rodrigues,2022,796.00,28.00,15.00,8.00,3.00,1.00,1.00
Capão Bonito,2022,7382.00,1029.10,583.00,247.00,3.00,103.00,93.10
Capela do Alto,2022,5362.90,240.00,,,,,
Capivari,2022,11775.10,,,,,,
Caraguatatuba,2022,88861.90,779.10,298.20,140.70,10.50,264.60,65.10
Carapicuíba,2022,125653.00,,,,,,
Cardoso,2022,2640.00,,,,,,
Casa Branca,2022,7022.10,55.10,18.00,11.10,0.60,21.00,4.40
Cássia dos Coqueiros,2022,1200.00,,,,,,
Castilho,2022,4417.00,47.00,15.00,20.00,10.00,1.00,1.00
Catanduva,2022,37706.40,654.00,224.00,56.00,12.00,362.00,0.00
Catiguá,2022,1486.50,4.40,1.10,1.10,1.10,0.00,1.10
Cedral,2022,8910.00,,,,,,
Cerqueira César,2022,8320.00,103.00,,,,,
Cerquilho,2022,12071.30,1110.30,405.00,330.90,56.50,241.00,76.90
Cesário Lange,2022,4192.80,,,,,,
Charqueada,2022,3700.00,500.00,,,,,
Clementina,2022,2156.00,102.00,,,,,
Colina,2022,6200.00,248.80,100.00,62.00,53.00,21.60,12.20
Colômbia,2022,1216.30,10.00,,,,,
Conchal,2022,9519.00,,,,,,
Conchas,2022,3265.60,230.30,123.60,52.00,47.00,0.00,7.70
Cordeirópolis,2022,17262.80,499.50,70.20,282.20,34.40,37.70,75.00
Coroados,2022,1600.00,,,,,,
Coronel Macedo,2022,592.00,78.00,29.00,24.00,15.00,6.40,3.60
Corumbataí,2022,900.00,70.00,30.00,20.00,12.00,5.00,3.00
Cosmópolis,2022,14315.00,,,,,,
Cosmorama,2022,1466.70,78.90,49.00,11.60,8.30,5.00,5.00
Cotia,2022,209984.90,2343.00,1188.50,511.50,1.00,642.00,0.00
Cravinhos,2022,9200.00,,,,,,
Cristais Paulista,2022,2300.00,,,,,,
Cruzália,2022,416.00,70.00,,,,,
Cruzeiro,2022,16248.70,13.30,7.70,5.40,0.00,0.00,0.20
Cubatão,2022,37469.90,196.70,82.20,59.90,22.20,32.40,0.00
Cunha,2022,3850.00,67.60,24.00,18.00,0.60,25.00,0.00
Descalvado,2022,9723.60,,,,,,
Diadema,2022,106473.00,269.00,,,,,
Dirce Reis,2022,645.90,,,,,,
Divinolândia,2022,2460.00,130.00,,,,,
Dobrada,2022,3100.00,,,,,,
Dois Córregos,2022,6410.00,179.00,88.80,27.60,22.70,39.90,0.00
Dolcinópolis,2022,624.00,,,,,,
Dourado,2022,5616.00,,,,,,
Dracena,2022,16092.00,322.00,100.00,12.00,80.00,30.00,100.00
Duartina,2022,3136.00,,,,,,
Dumont,2022,2356.00,,,,,,
Echaporã,2022,1309.00,41.00,,,,,
Eldorado,2022,3818.40,76.00,,,,,
